track,duration_s,n_notes,density_notes_per_s,polyphony_mean,polyphony_p95,drum_share,median_dur_s,mean_pitch,n_groups,groups,n_chunks,tokens_total,tokens_per_note,chunk_tokens_max,chunk_tokens_mean,empty_chunks,durfrac_0.0-0.1,durfrac_0.1-0.25,durfrac_0.25-0.5,durfrac_0.5-1.0,durfrac_1.0-2.0,durfrac_>=2.0,split
Track00093,284.57,3868,13.758,6.854,15.0,0.294,0.54,58.45,9,electric_piano:1436;drums:1137;flutes:427;string_ensemble:377;electric_bass:155;french_horn:131;acoustic_piano:93;distorted_electric_guitar:82;voice:30,59,21653,5.598,751,367.0,0,0.0023,0.3826,0.1075,0.3317,0.1125,0.0633,train
Track00103,262.23,7736,29.976,5.635,12.0,0.4651,0.05,60.1,12,drums:3598;clean_electric_guitar:919;synth_lead:658;electric_piano:642;voice:449;singleton_108:405;acoustic_bass:343;brass_section:341;acoustic_piano:171;string_ensemble:138;synth_pad:60;singleton_116:12,53,37579,4.858,1030,709.0,0,0.5989,0.2089,0.1435,0.0332,0.0103,0.0052,train
Track00110,210.67,5007,24.279,3.077,7.0,0.306,0.17,54.53,11,acoustic_guitar:1874;drums:1532;electric_piano:617;electric_bass:340;synth_lead:217;clean_electric_guitar:168;string_ensemble:157;chromatic_percussion:45;voice:26;trombone:24;singleton_120:7,43,27929,5.578,892,649.5,0,0.3555,0.2431,0.1801,0.1704,0.0246,0.0264,train
Track00135,283.53,5726,20.423,2.828,6.0,0.2309,0.2,57.94,11,acoustic_piano:2170;drums:1322;organ:765;acoustic_bass:445;clean_electric_guitar:369;electric_piano:318;string_ensemble:149;soprano_and_alto_sax:74;acoustic_guitar:72;synth_strings:40;voice:2,58,34094,5.954,958,587.8,0,0.3481,0.2859,0.2284,0.0522,0.0575,0.0279,train
Track00147,294.3,7597,25.989,5.902,12.0,0.4572,0.06,54.72,9,drums:3473;electric_piano:1521;clean_electric_guitar:854;acoustic_bass:713;chromatic_percussion:434;soprano_and_alto_sax:294;string_ensemble:218;synth_pad:65;acoustic_guitar:25,59,35795,4.712,1136,606.7,0,0.5604,0.2064,0.1032,0.0566,0.0515,0.022,train
Track00177,242.28,8395,35.084,3.466,7.0,0.3488,0.13,57.22,13,drums:2928;clean_electric_guitar:1252;acoustic_piano:850;acoustic_bass:804;string_ensemble:536;trombone:389;synth_pad:313;acoustic_guitar:303;trumpet:290;electric_piano:220;brass_section:207;flutes:185;organ:118,49,46634,5.555,1334,951.7,0,0.4253,0.3371,0.08,0.0573,0.0723,0.028,train
Track00182,265.51,4868,18.859,4.06,10.0,0.3817,0.23,58.11,12,drums:1858;acoustic_piano:735;acoustic_guitar:527;flutes:409;synth_pad:330;voice:299;electric_bass:252;string_ensemble:191;clean_electric_guitar:109;distorted_electric_guitar:97;singleton_96:31;cello:30,54,25838,5.308,857,478.5,0,0.4133,0.1171,0.13,0.1027,0.1243,0.1126,train
Track00192,222.44,5601,25.629,5.912,9.0,0.2982,0.16,51.31,10,drums:1670;distorted_electric_guitar:1092;electric_bass:771;voice:490;synth_lead:455;clean_electric_guitar:455;synth_pad:343;acoustic_piano:307;string_ensemble:14;singleton_122:4,46,32988,5.89,1004,717.1,0,0.3646,0.3949,0.1277,0.0152,0.0653,0.0323,train
Track00195,270.97,4734,17.752,4.169,11.0,0.5097,0.01,51.73,10,drums:2413;acoustic_piano:648;soprano_and_alto_sax:401;singleton_118:360;synth_strings:315;clean_electric_guitar:306;acoustic_bass:148;synth_pad:87;flutes:34;distorted_electric_guitar:22,56,22677,4.79,715,404.9,0,0.6432,0.0746,0.0843,0.1063,0.0279,0.0638,train
Track00197,195.0,4344,22.277,5.861,11.0,0.4346,0.19,44.11,6,distorted_electric_guitar:1944;drums:1888;acoustic_piano:258;flutes:148;string_ensemble:56;electric_bass:50,40,19295,4.442,933,482.4,0,0.2136,0.6478,0.0589,0.0313,0.0,0.0483,train
Track00200,228.52,2682,11.932,8.806,17.0,0.192,0.7,56.88,10,acoustic_piano:856;drums:515;acoustic_guitar:374;string_ensemble:337;flutes:280;electric_bass:145;electric_piano:78;french_horn:70;orchestral_harp:14;violin:13,47,16293,6.075,630,346.7,0,0.1961,0.0977,0.1033,0.3893,0.1499,0.0638,train
Track00218,258.75,7344,29.134,4.376,11.0,0.294,0.2,56.9,8,acoustic_guitar:2337;drums:2159;acoustic_piano:1574;acoustic_bass:483;string_ensemble:351;synth_strings:200;organ:152;clean_electric_guitar:88,52,41212,5.612,1206,792.5,0,0.3702,0.2258,0.1438,0.1468,0.0969,0.0165,train
Track00220,211.17,9108,44.488,5.705,13.0,0.3595,0.09,58.08,11,drums:3274;clean_electric_guitar:2740;acoustic_piano:993;acoustic_bass:751;electric_piano:469;string_ensemble:430;acoustic_guitar:279;distorted_electric_guitar:57;voice:49;brass_section:48;soprano_and_alto_sax:18,43,47582,5.224,1444,1106.6,0,0.5327,0.2212,0.1486,0.0428,0.0337,0.021,train
Track00238,189.96,5275,27.769,4.783,10.0,0.2974,0.24,56.38,6,clean_electric_guitar:2136;drums:1569;organ:515;synth_lead:515;acoustic_bass:305;acoustic_piano:235,39,28282,5.362,1245,725.2,0,0.3126,0.4265,0.168,0.0633,0.0292,0.0004,train
Track00243,240.37,7579,31.531,5.947,10.0,0.2942,0.08,52.17,7,drums:2230;electric_piano:2061;acoustic_piano:1294;organ:639;electric_bass:588;chromatic_percussion:588;distorted_electric_guitar:179,49,43255,5.707,1206,882.8,0,0.7132,0.1936,0.065,0.0282,0.0,0.0,train
Track00245,159.27,3964,25.253,5.205,10.0,0.2185,0.18,55.47,6,acoustic_guitar:2151;drums:866;acoustic_piano:531;acoustic_bass:193;singleton_110:136;synth_strings:87,33,22739,5.736,818,689.1,0,0.3761,0.2031,0.1559,0.1811,0.0505,0.0333,train
Track00255,223.81,3732,16.818,6.561,17.0,0.2428,0.31,57.53,10,drums:906;acoustic_piano:676;distorted_electric_guitar:657;string_ensemble:386;electric_bass:323;synth_pad:316;synth_lead:252;electric_piano:204;singleton_127:10;singleton_119:2,46,21999,5.895,841,478.2,0,0.3017,0.0986,0.1377,0.2867,0.1525,0.0228,train
Track00283,281.75,5983,21.387,4.536,9.0,0.4974,0.03,55.4,7,drums:2976;acoustic_bass:1022;synth_strings:618;voice:511;clean_electric_guitar:496;string_ensemble:273;electric_piano:87,57,27768,4.641,702,487.2,0,0.5855,0.2876,0.0313,0.0553,0.0304,0.0099,train
Track00302,207.18,4514,22.162,4.004,9.0,0.3839,0.06,57.59,9,drums:1733;clean_electric_guitar:1160;electric_bass:377;electric_piano:292;voice:252;flutes:215;organ:196;string_ensemble:166;acoustic_piano:123,42,23505,5.207,787,559.6,0,0.5924,0.0527,0.0824,0.1533,0.0738,0.0454,train
Track00309,220.65,11096,50.584,8.864,14.0,0.3277,0.16,57.25,9,drums:3636;acoustic_guitar:2408;clean_electric_guitar:1803;voice:1396;distorted_electric_guitar:932;acoustic_bass:591;synth_strings:150;electric_piano:121;electric_bass:59,45,57208,5.156,1695,1271.3,0,0.2108,0.656,0.1139,0.0058,0.0079,0.0056,train
Track00327,193.08,6797,35.674,7.128,13.0,0.1901,0.15,57.42,7,acoustic_guitar:4016;drums:1292;voice:703;electric_bass:292;soprano_and_alto_sax:241;clean_electric_guitar:193;electric_piano:60,39,38916,5.725,1409,997.8,0,0.2504,0.4237,0.2725,0.0228,0.0263,0.0043,train
Track00338,263.2,3115,12.051,3.758,8.0,0.26,0.25,60.25,11,drums:810;electric_piano:710;clarinet:410;acoustic_guitar:280;brass_section:210;string_ensemble:186;distorted_electric_guitar:182;electric_bass:178;voice:80;synth_pad:36;oboe:33,53,19027,6.108,624,359.0,0,0.3127,0.1525,0.1133,0.1531,0.1599,0.1085,train
Track00362,228.68,4270,18.875,5.111,10.0,0.1991,0.4,56.64,6,acoustic_piano:1696;drums:850;organ:625;distorted_electric_guitar:417;voice:397;electric_bass:285,47,25930,6.073,1131,551.7,0,0.1351,0.1733,0.4696,0.1143,0.0986,0.0091,train
Track00378,236.36,4468,19.198,3.528,7.0,0.3158,0.2,61.7,10,drums:1411;clean_electric_guitar:1244;organ:617;flutes:466;electric_piano:245;electric_bass:245;acoustic_guitar:120;synth_pad:94;acoustic_piano:14;distorted_electric_guitar:12,48,24346,5.449,821,507.2,0,0.3812,0.2513,0.1258,0.1209,0.0824,0.0385,train
Track00389,208.99,6742,32.26,6.364,14.0,0.5306,0.14,57.19,6,drums:3577;acoustic_piano:844;electric_piano:772;acoustic_guitar:642;string_ensemble:600;electric_bass:307,43,30573,4.535,867,711.0,0,0.0171,0.5863,0.1406,0.1023,0.1115,0.0421,train
Track00392,209.68,8598,41.325,3.96,8.0,0.2026,0.06,64.51,9,electric_piano:5454;drums:1742;string_ensemble:508;acoustic_bass:448;organ:323;clean_electric_guitar:75;chromatic_percussion:45;synth_pad:2;synth_strings:1,42,48714,5.666,1611,1159.9,0,0.6995,0.2461,0.0405,0.0064,0.0034,0.0042,train
Track00400,179.4,3970,22.277,8.004,17.0,0.2443,0.5,57.0,6,acoustic_guitar:1396;drums:970;acoustic_piano:689;clean_electric_guitar:453;string_ensemble:321;electric_bass:141,37,23680,5.965,845,640.0,0,0.101,0.2025,0.1882,0.2428,0.1665,0.099,train
Track00415,320.73,8322,26.106,3.602,7.0,0.5447,0.01,56.97,8,drums:4533;clean_electric_guitar:1299;acoustic_bass:839;distorted_electric_guitar:456;voice:366;electric_piano:322;string_ensemble:315;synth_pad:192,65,37722,4.533,853,580.3,0,0.5858,0.273,0.0552,0.0078,0.0123,0.066,train
Track00419,275.2,4927,18.114,5.091,12.0,0.2683,0.4,56.57,8,acoustic_guitar:1732;drums:1322;electric_piano:391;electric_bass:353;organ:324;brass_section:300;tenor_sax:300;string_ensemble:205,56,28129,5.709,1130,502.3,0,0.1202,0.315,0.2324,0.1378,0.0893,0.1053,train
Track00421,359.75,3505,9.743,3.832,9.0,0.3655,0.25,57.19,7,acoustic_piano:1398;drums:1281;singleton_99:260;distorted_electric_guitar:228;acoustic_bass:222;string_ensemble:64;synth_pad:52,73,17552,5.008,378,240.4,0,0.0023,0.0431,0.7655,0.0462,0.0648,0.0782,train
Track00441,199.27,6240,31.314,4.099,8.0,0.2115,0.1,50.28,7,distorted_electric_guitar:1779;clean_electric_guitar:1581;drums:1320;electric_bass:568;flutes:348;soprano_and_alto_sax:342;acoustic_piano:302,41,37580,6.022,1298,916.6,0,0.4375,0.4159,0.0862,0.0442,0.0115,0.0046,train
Track00442,172.29,3277,19.211,7.621,15.0,0.1837,0.43,58.29,9,acoustic_piano:677;electric_piano:677;clean_electric_guitar:677;drums:602;synth_lead:252;acoustic_bass:209;trumpet:61;french_horn:61;brass_section:61,35,19539,5.962,1042,558.3,0,0.1837,0.2133,0.3998,0.0449,0.1456,0.0128,train
Track00457,225.03,7646,34.701,4.12,9.0,0.2052,0.15,55.88,9,acoustic_guitar:2096;electric_piano:1734;drums:1569;clean_electric_guitar:804;electric_bass:542;string_ensemble:360;synth_pad:356;trumpet:122;chromatic_percussion:63,46,45881,6.001,1986,997.4,0,0.3296,0.3245,0.1932,0.0922,0.0428,0.0178,train
Track00500,287.0,4895,17.221,7.022,12.0,0.229,0.32,62.19,8,acoustic_guitar:1746;acoustic_piano:1178;drums:1121;clean_electric_guitar:407;acoustic_bass:255;orchestral_harp:108;string_ensemble:76;orchestra_hit:4,59,28817,5.887,829,488.4,0,0.1422,0.3028,0.4129,0.086,0.0394,0.0168,train
Track00508,363.24,11472,31.845,3.473,7.0,0.4639,0.07,56.27,9,drums:5322;clean_electric_guitar:2402;electric_bass:1306;voice:1087;brass_section:416;electric_piano:378;synth_pad:378;chromatic_percussion:143;string_ensemble:40,73,55112,4.804,1657,755.0,0,0.6179,0.2694,0.0423,0.0103,0.0421,0.0181,train
Track00510,210.61,8566,41.308,3.947,8.0,0.2034,0.06,64.5,9,electric_piano:5424;drums:1742;string_ensemble:507;acoustic_bass:448;organ:323;clean_electric_guitar:75;chromatic_percussion:44;synth_pad:2;synth_strings:1,43,48544,5.667,1549,1128.9,0,0.6978,0.2477,0.0404,0.0065,0.0034,0.0042,train
Track00520,184.81,3596,19.659,3.423,8.0,0.2411,0.35,53.12,10,drums:867;acoustic_piano:744;acoustic_guitar:715;electric_piano:679;electric_bass:240;string_ensemble:121;clean_electric_guitar:102;distorted_electric_guitar:77;voice:40;synth_pad:11,38,22172,6.166,1254,583.5,0,0.0968,0.2428,0.2133,0.1643,0.262,0.0209,train
Track00531,185.45,4867,26.556,2.943,6.0,0.4658,0.04,51.74,8,drums:2267;distorted_electric_guitar:1043;electric_bass:462;synth_lead:348;oboe:328;voice:249;acoustic_piano:127;electric_piano:43,38,23348,4.797,1025,614.4,0,0.5408,0.1494,0.2256,0.0538,0.0245,0.006,train
Track00544,199.27,6018,30.2,3.808,8.0,0.2193,0.1,50.0,7,clean_electric_guitar:1581;distorted_electric_guitar:1557;drums:1320;electric_bass:568;voice:348;soprano_and_alto_sax:342;acoustic_piano:302,41,36169,6.01,1256,882.2,0,0.5263,0.3608,0.0819,0.0143,0.012,0.0048,train
Track00553,210.49,6328,30.631,2.953,7.0,0.2274,0.12,52.99,13,acoustic_piano:1457;drums:1439;clean_electric_guitar:1071;acoustic_bass:722;electric_piano:335;brass_section:273;tuba:269;acoustic_guitar:260;soprano_and_alto_sax:169;trombone:117;electric_bass:113;french_horn:99;synth_pad:4,43,39393,6.225,1428,916.1,0,0.4221,0.2966,0.1692,0.0747,0.0253,0.012,train
Track00573,201.95,2658,13.391,4.75,12.0,0.3209,0.44,53.18,9,drums:853;acoustic_piano:821;synth_strings:656;acoustic_bass:207;clean_electric_guitar:58;electric_piano:36;orchestral_harp:12;singleton_97:10;prog101:5,42,14209,5.346,481,338.3,0,0.0218,0.219,0.4353,0.1388,0.1663,0.0188,train
Track00593,208.51,4845,23.766,3.613,8.0,0.3391,0.1,54.96,10,drums:1643;acoustic_guitar:1530;string_ensemble:491;tenor_sax:402;electric_bass:390;acoustic_piano:196;singleton_112:90;voice:90;singleton_98:9;singleton_120:4,43,26065,5.38,870,606.2,0,0.4949,0.0906,0.3001,0.0402,0.0188,0.0553,train
Track00605,235.54,4164,17.896,4.426,10.0,0.2392,0.26,54.01,10,acoustic_guitar:1253;drums:996;electric_piano:513;electric_bass:318;string_ensemble:304;flutes:298;synth_lead:255;voice:189;acoustic_piano:20;french_horn:18,48,25305,6.077,861,527.2,0,0.3201,0.1688,0.251,0.1232,0.0793,0.0576,train
Track00656,246.47,16536,67.696,8.258,17.0,0.46,0.09,55.93,12,drums:7607;acoustic_guitar:3383;acoustic_piano:1157;clean_electric_guitar:974;string_ensemble:884;electric_bass:856;electric_piano:536;soprano_and_alto_sax:431;brass_section:422;distorted_electric_guitar:194;organ:91;singleton_122:1,50,78948,4.774,2132,1579.0,0,0.5989,0.2444,0.0962,0.0236,0.0249,0.0119,train
Track00660,286.86,6044,21.213,2.629,6.0,0.3056,0.23,53.58,7,acoustic_piano:2090;drums:1847;acoustic_guitar:635;acoustic_bass:571;string_ensemble:416;clean_electric_guitar:331;synth_pad:154,58,34042,5.632,913,586.9,0,0.3337,0.233,0.2187,0.1395,0.0457,0.0295,train
Track00690,241.0,3945,16.369,5.062,12.0,0.2862,0.59,53.29,8,drums:1129;acoustic_piano:1103;acoustic_guitar:608;electric_piano:508;synth_pad:206;synth_strings:200;acoustic_bass:159;string_ensemble:32,49,22629,5.736,638,461.8,0,0.0096,0.3321,0.13,0.2837,0.1878,0.0568,train
Track00695,218.96,3929,18.087,3.433,6.0,0.3143,0.11,45.53,4,distorted_electric_guitar:1731;drums:1235;electric_bass:837;acoustic_piano:126,44,21806,5.55,753,495.6,0,0.397,0.4691,0.1066,0.0069,0.0092,0.0112,train
Track00696,245.87,5767,23.634,9.211,18.0,0.2389,0.23,51.52,7,acoustic_piano:2436;drums:1378;clean_electric_guitar:904;electric_bass:684;distorted_electric_guitar:305;voice:45;organ:15,50,32742,5.677,1225,654.8,0,0.0189,0.6329,0.0886,0.1757,0.0527,0.0312,train
Track00729,225.73,7879,35.457,2.928,6.0,0.489,0.06,58.65,10,drums:3853;clean_electric_guitar:1120;string_ensemble:799;electric_bass:569;organ:455;flutes:325;voice:310;synth_lead:214;electric_piano:209;chromatic_percussion:25,46,37137,4.713,1278,807.3,0,0.6382,0.158,0.068,0.0579,0.0476,0.0303,train
Track00734,40.59,869,21.409,4.346,8.0,0.2382,0.11,58.45,6,drums:207;orchestral_harp:197;clean_electric_guitar:133;synth_pad:130;acoustic_bass:102;acoustic_piano:100,9,5183,5.964,850,575.9,0,0.351,0.6133,0.0334,0.0023,0.0,0.0,train
Track00737,290.96,10500,36.439,3.164,7.0,0.2999,0.1,57.92,9,acoustic_guitar:4431;drums:3149;distorted_electric_guitar:1217;acoustic_bass:1016;flutes:267;electric_piano:211;organ:107;synth_pad:77;french_horn:25,59,57963,5.52,1911,982.4,0,0.5066,0.412,0.0283,0.015,0.0077,0.0305,train
Track00758,242.91,9738,40.489,6.541,15.0,0.2956,0.1,56.1,12,drums:2879;clean_electric_guitar:2482;electric_piano:1100;electric_bass:710;string_ensemble:558;acoustic_piano:523;soprano_and_alto_sax:390;voice:352;trumpet:274;brass_section:274;singleton_126:176;organ:20,49,53601,5.504,2082,1093.9,0,0.5283,0.2173,0.14,0.0329,0.0754,0.0062,train
Track00819,207.98,5101,24.779,3.118,7.0,0.2782,0.25,52.36,8,clean_electric_guitar:1482;drums:1419;acoustic_piano:873;acoustic_bass:597;organ:411;brass_section:123;string_ensemble:118;voice:78,42,29931,5.868,938,712.6,0,0.3068,0.188,0.2692,0.1051,0.0776,0.0533,train
Track00822,220.8,7376,33.824,4.531,11.0,0.3884,0.12,51.8,8,drums:2865;electric_piano:1348;electric_bass:951;clean_electric_guitar:942;flutes:538;brass_section:450;voice:184;synth_pad:98,45,37666,5.107,1263,837.0,0,0.4459,0.3017,0.1188,0.0586,0.0503,0.0248,train
Track00828,246.47,3875,15.909,7.616,16.0,0.2015,0.24,58.76,9,acoustic_piano:893;electric_piano:893;drums:781;acoustic_bass:339;bassoon:286;voice:207;string_ensemble:182;distorted_electric_guitar:147;singleton_99:147,51,24523,6.329,706,480.8,0,0.0026,0.5484,0.2046,0.1265,0.0803,0.0377,train
Track00837,218.18,6339,29.298,6.796,12.0,0.2423,0.29,52.88,6,drums:1536;acoustic_guitar:1525;acoustic_piano:1402;clean_electric_guitar:1061;acoustic_bass:471;organ:344,45,38069,6.006,966,846.0,0,0.2866,0.1713,0.1948,0.2467,0.0872,0.0133,train
Track00841,233.07,5000,21.659,5.996,17.0,0.3392,0.28,55.64,10,drums:1696;acoustic_piano:1134;voice:559;acoustic_bass:415;string_ensemble:403;soprano_and_alto_sax:327;clean_electric_guitar:189;electric_piano:156;synth_pad:98;synth_strings:23,47,26244,5.249,756,558.4,0,0.4244,0.0076,0.1186,0.1574,0.0724,0.2196,train
Track00853,127.26,4276,33.776,7.13,12.0,0.1904,0.13,55.12,7,electric_piano:2336;drums:814;clean_electric_guitar:361;electric_bass:322;acoustic_piano:274;tenor_sax:96;baritone_sax:73,26,24598,5.753,1093,946.1,0,0.2219,0.6043,0.043,0.0903,0.0115,0.029,train
Track00854,454.01,6720,14.896,3.508,8.0,0.0815,0.27,58.71,8,acoustic_guitar:3846;electric_piano:848;flutes:721;drums:548;acoustic_bass:371;clean_electric_guitar:252;distorted_electric_guitar:114;synth_pad:20,92,43443,6.465,976,472.2,0,0.2467,0.2189,0.2519,0.1308,0.1292,0.0225,train
Track00864,236.63,4148,17.53,7.464,16.0,0.2806,0.31,52.91,8,drums:1164;acoustic_piano:894;electric_piano:597;string_ensemble:454;acoustic_guitar:454;electric_bass:291;voice:156;distorted_electric_guitar:138,48,24274,5.852,657,505.7,0,0.1234,0.3093,0.2249,0.1555,0.1516,0.0352,train
Track00875,197.01,5414,27.8,3.941,11.0,0.3711,0.13,59.84,11,drums:2009;acoustic_piano:700;acoustic_guitar:640;voice:598;brass_section:375;synth_lead:370;electric_bass:259;electric_piano:255;string_ensemble:130;synth_pad:73;singleton_119:5,41,28386,5.243,1106,692.3,0,0.4348,0.2233,0.1339,0.0951,0.0582,0.0547,train
Track00892,298.33,4751,15.925,5.162,11.0,0.2682,0.34,56.16,6,drums:1274;acoustic_piano:1271;string_ensemble:1250;electric_bass:363;trumpet:316;acoustic_guitar:277,60,26404,5.558,649,440.1,0,0.0709,0.3204,0.1593,0.2762,0.109,0.0642,train
Track00907,220.05,8885,40.785,6.954,11.0,0.1662,0.08,57.91,8,acoustic_guitar:4128;drums:1477;synth_pad:1017;clean_electric_guitar:896;electric_piano:691;electric_bass:408;brass_section:148;string_ensemble:120,45,53402,6.01,1892,1186.7,0,0.6673,0.2185,0.0629,0.0071,0.024,0.0203,train
Track00910,341.65,18040,53.495,7.202,12.0,0.3062,0.03,54.62,8,clean_electric_guitar:5653;drums:5524;acoustic_piano:3544;electric_bass:1595;electric_piano:510;brass_section:450;string_ensemble:416;organ:348,69,100473,5.569,1692,1456.1,0,0.7528,0.1264,0.0423,0.0193,0.0359,0.0232,train
Track00921,218.88,4444,20.435,3.967,8.0,0.1712,0.26,55.11,12,acoustic_guitar:1676;drums:761;electric_piano:554;acoustic_piano:376;acoustic_bass:267;electric_bass:152;string_ensemble:152;clean_electric_guitar:143;trombone:102;distorted_electric_guitar:95;synth_pad:88;synth_lead:78,45,27225,6.126,1075,605.0,0,0.2714,0.1998,0.2486,0.1499,0.095,0.0353,train
Track00938,161.98,4482,27.67,7.814,13.0,0.1568,0.35,58.05,6,acoustic_guitar:1100;acoustic_piano:1037;organ:935;drums:703;synth_lead:424;electric_bass:283,34,29041,6.479,1111,854.1,0,0.1,0.2401,0.4186,0.1892,0.0424,0.0098,train
Track00939,438.33,7180,16.489,3.495,8.0,0.1319,0.25,57.7,9,acoustic_guitar:3723;drums:947;electric_piano:847;flutes:717;acoustic_bass:371;clean_electric_guitar:301;singleton_120:139;distorted_electric_guitar:115;synth_pad:20,89,44901,6.254,1037,504.5,0,0.2933,0.1972,0.2408,0.1235,0.1244,0.0208,train
Track00952,232.1,6280,27.653,4.144,10.0,0.3381,0.27,56.99,8,drums:2123;acoustic_piano:1285;acoustic_guitar:1221;flutes:533;clean_electric_guitar:526;acoustic_bass:420;chromatic_percussion:170;singleton_119:2,48,34884,5.555,1128,726.8,0,0.3525,0.0946,0.3479,0.1223,0.0401,0.0425,train
Track00972,186.83,4013,21.841,4.962,11.0,0.246,0.14,55.37,6,electric_piano:1255;drums:987;distorted_electric_guitar:680;voice:426;electric_bass:335;flutes:330,38,23584,5.877,1208,620.6,0,0.4024,0.2948,0.1428,0.0922,0.0581,0.0097,train
Track00973,260.34,7941,30.554,5.372,12.0,0.2739,0.22,52.48,6,drums:2175;acoustic_piano:1908;clean_electric_guitar:1087;electric_bass:1084;distorted_electric_guitar:959;flutes:728,53,45197,5.692,1184,852.8,0,0.0429,0.5968,0.2412,0.1055,0.0133,0.0003,train
Track00983,258.0,7184,28.207,6.048,11.0,0.3151,0.18,52.42,10,acoustic_guitar:2488;drums:2264;trumpet:744;electric_bass:703;string_ensemble:294;brass_section:235;electric_piano:220;chromatic_percussion:108;baritone_sax:104;voice:24,53,40215,5.598,1320,758.8,0,0.3349,0.3334,0.1984,0.0422,0.0597,0.0315,train
Track00995,171.75,3961,23.063,4.926,11.0,0.3966,0.3,55.61,6,drums:1571;acoustic_piano:746;electric_piano:714;clean_electric_guitar:392;string_ensemble:387;acoustic_bass:151,36,19643,4.959,800,545.6,0,0.0048,0.4814,0.1184,0.1813,0.1593,0.0548,train
Track01018,183.24,3671,20.223,2.268,5.0,0.3288,0.21,54.31,10,drums:1207;acoustic_piano:806;electric_bass:411;clean_electric_guitar:302;voice:249;chromatic_percussion:212;soprano_and_alto_sax:187;string_ensemble:140;organ:112;distorted_electric_guitar:45,38,20847,5.679,1072,548.6,0,0.1607,0.4405,0.222,0.0983,0.0558,0.0226,train
