split,group,tracks_with_group,track_share,notes,note_share
valid,acoustic_piano,11,0.55,16408,0.1324
valid,acoustic_guitar,12,0.6,14772,0.1192
valid,clean_electric_guitar,15,0.75,9578,0.0773
valid,electric_piano,11,0.55,7499,0.0605
valid,electric_bass,11,0.55,6834,0.0551
valid,acoustic_bass,11,0.55,6644,0.0536
valid,string_ensemble,13,0.65,3967,0.032
valid,voice,9,0.45,3510,0.0283
valid,synth_pad,7,0.35,2387,0.0193
valid,distorted_electric_guitar,6,0.3,1457,0.0118
valid,chromatic_percussion,4,0.2,1366,0.011
valid,flutes,4,0.2,1324,0.0107
valid,synth_lead,6,0.3,1207,0.0097
valid,organ,3,0.15,855,0.0069
valid,soprano_and_alto_sax,3,0.15,848,0.0068
valid,singleton_99,2,0.1,777,0.0063
valid,singleton_110,2,0.1,521,0.0042
valid,trumpet,3,0.15,499,0.004
valid,brass_section,3,0.15,361,0.0029
valid,synth_strings,1,0.05,342,0.0028
valid,clarinet,1,0.05,335,0.0027
valid,orchestral_harp,1,0.05,221,0.0018
valid,violin,1,0.05,172,0.0014
valid,singleton_98,1,0.05,151,0.0012
valid,singleton_119,1,0.05,2,0.0
valid,singleton_125,1,0.05,1,0.0
test,drums,60,1.0,113273,0.3198
test,acoustic_guitar,39,0.65,44307,0.1251
test,acoustic_piano,41,0.683,42326,0.1195
test,clean_electric_guitar,40,0.667,36646,0.1034
test,electric_piano,41,0.683,26013,0.0734
test,electric_bass,38,0.633,20698,0.0584
test,string_ensemble,40,0.667,12520,0.0353
test,distorted_electric_guitar,26,0.433,8669,0.0245
test,acoustic_bass,24,0.4,8447,0.0238
test,voice,28,0.467,6533,0.0184
test,organ,23,0.383,6329,0.0179
test,synth_pad,23,0.383,5261,0.0149
test,flutes,13,0.217,3914,0.011
test,synth_lead,9,0.15,2876,0.0081
test,chromatic_percussion,8,0.133,2680,0.0076
test,brass_section,10,0.167,1803,0.0051
test,soprano_and_alto_sax,8,0.133,1299,0.0037
test,synth_strings,7,0.117,1158,0.0033
test,singleton_108,2,0.033,1106,0.0031
test,tenor_sax,5,0.083,1089,0.0031
test,singleton_106,1,0.017,903,0.0025
test,singleton_99,1,0.017,793,0.0022
test,singleton_115,1,0.017,768,0.0022
test,singleton_114,1,0.017,762,0.0022
test,violin,3,0.05,728,0.0021
test,viola,3,0.05,631,0.0018
test,clarinet,2,0.033,540,0.0015
test,trombone,2,0.033,413,0.0012
test,singleton_98,2,0.033,302,0.0009
test,baritone_sax,2,0.033,270,0.0008
test,french_horn,4,0.067,218,0.0006
test,trumpet,3,0.05,213,0.0006
test,singleton_104,2,0.033,138,0.0004
test,singleton_103,1,0.017,117,0.0003
test,prog100,2,0.033,105,0.0003
test,singleton_110,1,0.017,84,0.0002
test,singleton_118,1,0.017,62,0.0002
test,singleton_105,1,0.017,40,0.0001
test,timpani,2,0.033,32,0.0001
test,prog101,1,0.017,30,0.0001
test,singleton_102,1,0.017,30,0.0001
test,singleton_126,1,0.017,29,0.0001
test,singleton_116,1,0.017,28,0.0001
test,singleton_122,1,0.017,20,0.0001
test,singleton_123,1,0.017,19,0.0001
test,orchestral_harp,1,0.017,7,0.0
test,english_horn,1,0.017,6,0.0
test,singleton_119,1,0.017,5,0.0
test,singleton_127,1,0.017,1,0.0
test,cello,1,0.017,1,0.0
